epoch,train_loss,train_heatmap_loss,train_presence_loss,val_loss,val_heatmap_loss,val_presence_loss,test_loss,test_heatmap_loss,test_presence_loss
1,12.953459739685059,0.12259703874588013,0.6937556266784668,,,,,,
2,736.14306640625,7.354584693908691,0.6846592426300049,153817.4375,1538.159912109375,1.4544388055801392,152471.71875,1524.7032470703125,1.4018478393554688
3,1188.1937255859375,11.875190734863281,0.6747817397117615,,,,,,
4,19.37786102294922,0.18715663254261017,0.6621997356414795,1205015019520.0,12050148352.0,93802.515625,1537012400128.0,15370122240.0,100438.1640625
5,8.613594055175781,0.07954248040914536,0.6593461036682129,,,,,,
6,3.9246203899383545,0.03265686705708504,0.658933699131012,2251499.0,22510.896484375,409.34442138671875,4395138.0,43945.73046875,565.2652587890625
7,2.2351903915405273,0.01576884277164936,0.658306360244751,,,,,,
8,1.4166280031204224,0.007596802897751331,0.6569478511810303,2242.34130859375,22.30506706237793,11.8346529006958,6708.6552734375,66.81472778320312,27.18279457092285
9,1.3887784481048584,0.007320153061300516,0.6567631959915161,,,,,,
10,1.461292028427124,0.00804968737065792,0.656323254108429,55.293148040771484,0.5376343727111816,1.5297198295593262,226.91104125976562,2.2233924865722656,4.571796417236328
11,1.112612247467041,0.004558393731713295,0.6567729115486145,,,,,,
12,0.7951698303222656,0.0013866745866835117,0.656502366065979,1.097398042678833,0.0027713030576705933,0.8202676773071289,2.7706947326660156,0.010196715593338013,1.7510230541229248
13,0.7897529006004333,0.0013449846301227808,0.6552544236183167,,,,,,
14,0.8351824283599854,0.0017954064533114433,0.6556417942047119,0.9169572591781616,0.0019918116740882397,0.7177760004997253,1.8864017724990845,0.007546516135334969,1.1317501068115234
15,0.8028435707092285,0.0014715766301378608,0.6556858420372009,,,,,,
16,0.7748647332191467,0.0011968053877353668,0.6551842093467712,0.7808997631072998,0.0008529456681571901,0.6956052780151367,1.1533241271972656,0.0021269163116812706,0.9406324625015259
17,0.7582401633262634,0.0010302115697413683,0.6552190184593201,,,,,,
18,0.7390024065971375,0.0008427640423178673,0.654725968837738,0.7535440921783447,0.0006428805063478649,0.6892560720443726,0.9690405130386353,0.0009089223458431661,0.8781483173370361
19,0.7386371493339539,0.0008440188830718398,0.654235303401947,,,,,,
20,0.7429036498069763,0.0008859052904881537,0.6543130874633789,0.7516747713088989,0.0006436877883970737,0.6873060464859009,0.9573650360107422,0.0009231753065250814,0.8650474548339844
21,0.7356804609298706,0.0008178140851669014,0.6538991332054138,,,,,,
22,0.7298905849456787,0.0007704703602939844,0.6528435349464417,0.7491698265075684,0.0006213001906871796,0.6870397329330444,0.94664466381073,0.0007923474768176675,0.867409884929657
23,0.728696346282959,0.0007637797971256077,0.6523182988166809,,,,,,
24,0.7286680936813354,0.000756851106416434,0.6529830098152161,0.7493481636047363,0.0006258656503632665,0.686761736869812,0.9482263326644897,0.0007864647777751088,0.8695797920227051
25,0.7278366088867188,0.0007523064268752933,0.6526060104370117,,,,,,
26,0.7258094549179077,0.0007434075814671814,0.6514686346054077,0.7482101917266846,0.0006199402851052582,0.6862161755561829,0.9314621686935425,0.0007436235318891704,0.8570997714996338
27,0.7246962189674377,0.0007329793879762292,0.6513983011245728,,,,,,
28,0.7231467962265015,0.0007282517617568374,0.6503215432167053,0.7466241121292114,0.0006119379540905356,0.6854303479194641,0.9421950578689575,0.0007347722421400249,0.8687177896499634
29,0.7219991087913513,0.0007270355126820505,0.6492955684661865,,,,,,
30,0.7214232087135315,0.0007215638179332018,0.6492668390274048,0.7446451783180237,0.0006079636514186859,0.6838487386703491,0.9231969118118286,0.0007084355456754565,0.8523533344268799
31,0.719306468963623,0.0007164201233536005,0.647664487361908,,,,,,
32,0.7186245918273926,0.0007160758832469583,0.6470169425010681,0.742908775806427,0.000605172012001276,0.6823915243148804,0.9046570062637329,0.0006911767413839698,0.8355393409729004
33,0.7157886028289795,0.0007122986717149615,0.6445587277412415,,,,,,
34,0.7141690254211426,0.0007158390944823623,0.6425850987434387,0.7399072647094727,0.0005937001551501453,0.680537223815918,0.8488781452178955,0.0006568128592334688,0.7831968069076538
35,0.7110680341720581,0.0007183537818491459,0.6392326354980469,,,,,,
36,0.706790566444397,0.000718871655408293,0.6349033713340759,0.7354117631912231,0.0005689669051207602,0.6785150766372681,0.7521534562110901,0.0005980304558761418,0.6923503875732422
37,0.7038068771362305,0.000719507341273129,0.6318561434745789,,,,,,
38,0.7003782987594604,0.0007174937636591494,0.6286288499832153,0.7421687841415405,0.000579920073505491,0.6841768026351929,0.808122456073761,0.0006235549226403236,0.7457669973373413
39,0.6973124146461487,0.0007064262754283845,0.6266697645187378,,,,,,
40,0.6927270293235779,0.0007002227939665318,0.6227047443389893,0.756625771522522,0.0005931456107646227,0.697311282157898,0.8661354184150696,0.0006761975819244981,0.7985156774520874
41,0.6883299350738525,0.0007044531521387398,0.6178845167160034,,,,,,
42,0.6830681562423706,0.0006971739931032062,0.6133508086204529,0.7852820158004761,0.0006186211248859763,0.7234199643135071,1.1610431671142578,0.0007565859123133123,1.085384726524353
43,0.6778276562690735,0.0006928376387804747,0.608543872833252,,,,,,
44,0.6696490049362183,0.0006853473023511469,0.6011142730712891,0.7483876943588257,0.0005691518308594823,0.6914724707603455,0.788294792175293,0.0006121450569480658,0.7270803451538086
45,0.6649326086044312,0.000682873884215951,0.596645176410675,,,,,,
46,0.6600459218025208,0.0006788544123992324,0.5921604633331299,0.7441911697387695,0.0005639658775180578,0.68779456615448,0.7481296062469482,0.0005714175058528781,0.6909878253936768
