epoch,train_loss,train_heatmap_loss,train_presence_loss,val_loss,val_heatmap_loss,val_presence_loss,test_loss,test_heatmap_loss,test_presence_loss,test_presence_combined_loss
1,0.06719784438610077,0.06719784438610077,0.829999566078186,,,,,,,
2,0.00969362910836935,0.00969362910836935,0.7423166036605835,0.07058218121528625,0.07058218121528625,0.8909894943237304,0.0514736533164978,0.0514736533164978,0.8148741722106934,0.8148741722106934
3,0.007833043113350868,0.007833043113350868,0.7354015707969666,,,,,,,
4,0.0068956408649683,0.0068956408649683,0.7129451632499695,0.009956099092960358,0.009956099092960358,0.8225800514221191,0.011744128167629242,0.011744128167629242,0.7636374473571778,0.7636374473571778
5,0.006248415447771549,0.006248415447771549,0.6973087787628174,,,,,,,
6,0.005487258080393076,0.005487258080393076,0.671991229057312,0.008398205041885376,0.008398205041885376,0.7846217155456543,0.012355311214923859,0.012355311214923859,0.7532418251037598,0.7532418251037598
7,0.004668616224080324,0.004668616224080324,0.629712700843811,,,,,,,
8,0.0038816151209175587,0.0038816151209175587,0.5908517837524414,0.008228445053100586,0.008228445053100586,0.759836483001709,0.015434111654758453,0.015434111654758453,0.7587059020996094,0.7587059020996094
9,0.003248716937378049,0.003248716937378049,0.5626415014266968,,,,,,,
10,0.0028228703886270523,0.0028228703886270523,0.5282050371170044,0.008245712518692017,0.008245712518692017,0.7362711429595947,0.01964658498764038,0.01964658498764038,0.7885452270507812,0.7885452270507812
11,0.0025946665555238724,0.0025946665555238724,0.499733030796051,,,,,,,
12,0.0024619370233267546,0.0024619370233267546,0.48212018609046936,0.008569595962762832,0.008569595962762832,0.723600196838379,0.021374620497226715,0.021374620497226715,0.8270998001098633,0.8270998001098633
13,0.002369812224060297,0.002369812224060297,0.47316765785217285,,,,,,,
14,0.002299949526786804,0.002299949526786804,0.45724618434906006,0.008541823923587799,0.008541823923587799,0.7152917861938477,0.021510392427444458,0.021510392427444458,0.8591407775878906,0.8591407775878906
15,0.002249582437798381,0.002249582437798381,0.44817909598350525,,,,,,,
16,0.0022070915438234806,0.0022070915438234806,0.43956196308135986,0.009774492681026458,0.009774492681026458,0.7610621452331543,0.022857356071472167,0.022857356071472167,0.9098975181579589,0.9098975181579589
17,0.002173334825783968,0.002173334825783968,0.43153122067451477,,,,,,,
18,0.0021440042182803154,0.0021440042182803154,0.42455512285232544,0.009548319876194,0.009548319876194,0.7440336227416993,0.02379915714263916,0.02379915714263916,0.9496556282043457,0.9496556282043457
19,0.002124002669006586,0.002124002669006586,0.41846901178359985,,,,,,,
20,0.0021155711729079485,0.0021155711729079485,0.41444870829582214,0.009335187077522279,0.009335187077522279,0.7219145774841309,0.02414422631263733,0.02414422631263733,0.9911342620849609,0.9911342620849609
21,0.002096942625939846,0.002096942625939846,0.40972042083740234,,,,,,,
